Date,Forecasted value,Pseudonym,Actual value,Absolute Error
12/03/2025,55.89,oraclegenesis,82.02,26.13
12/03/2025,202.12,Dodona,82.02,120.10
12/03/2025,271.77,Persistence,82.02,189.75
12/03/2025,161.63,Didyma,82.02,79.61
12/03/2025,196.43,LLM Spreadbot v1,82.02,114.41
12/04/2025,202.12,Forecast Masher 25,127.46,74.66
12/04/2025,54.78,oraclegenesis,127.46,72.68
12/04/2025,141.51,Didyma,127.46,14.05
12/04/2025,82.02,Persistence,127.46,45.44
12/04/2025,176.90,Dodona,127.46,49.44
12/04/2025,nan,Forecast Hi-Lo Spread DAA DE-LU,127.46,
12/04/2025,211.31,LLM Spreadbot v1,127.46,83.85
12/05/2025,206.77,Forecast Masher 25,42.96,163.81
12/05/2025,34.12,oraclegenesis,42.96,8.84
12/05/2025,104.74,Dodona,42.96,61.78
12/05/2025,84.45,Didyma,42.96,41.49
12/05/2025,127.46,Persistence,42.96,84.50
12/05/2025,nan,Forecast Hi-Lo Spread DAA DE-LU,42.96,
12/05/2025,185.93,LLM Spreadbot v1,42.96,142.97
12/06/2025,210.26,LLM Spreadbot v1,91.24,119.02
12/06/2025,202.12,Forecast Masher 25,91.24,110.88
12/06/2025,46.51,oraclegenesis,91.24,44.73
12/06/2025,85.21,Dodona,91.24,6.03
12/06/2025,42.96,Persistence,91.24,48.28
12/06/2025,72.68,Didyma,91.24,18.56
12/06/2025,nan,Forecast Hi-Lo Spread DAA DE-LU,91.24,
12/07/2025,129.92,Forecast Masher 25,107.45,22.47
12/07/2025,189.93,LLM Spreadbot v1,107.45,82.48
12/07/2025,101.09,oraclegenesis,107.45,6.36
12/07/2025,67.10,Dodona,107.45,40.35
12/07/2025,80.59,Didyma,107.45,26.86
12/07/2025,91.24,Persistence,107.45,16.21
12/07/2025,nan,Forecast Hi-Lo Spread DAA DE-LU,107.45,
12/08/2025,215.49,Forecast Masher 25,92.67,122.82
12/08/2025,202.93,LLM Spreadbot v1,92.67,110.26
12/08/2025,83.85,oraclegenesis,92.67,8.82
12/08/2025,99.35,Dodona,92.67,6.68
12/08/2025,110.38,Didyma,92.67,17.71
12/08/2025,107.45,Persistence,92.67,14.78
12/08/2025,nan,Forecast Hi-Lo Spread DAA DE-LU,92.67,
12/09/2025,202.12,Forecast Masher 25,84.85,117.27
12/09/2025,132.46,LLM Spreadbot v1,84.85,47.61
12/09/2025,83.05,oraclegenesis,84.85,1.80
12/09/2025,157.30,Didyma,84.85,72.45
12/09/2025,92.67,Persistence,84.85,7.82
12/09/2025,100.06,Dodona,84.85,15.21
12/09/2025,nan,Forecast Hi-Lo Spread DAA DE-LU,84.85,
12/10/2025,155.89,Forecast Masher 25,55.57,100.32
12/10/2025,198.93,LLM Spreadbot v1,55.57,143.36
12/10/2025,80.99,oraclegenesis,55.57,25.42
12/10/2025,84.85,Persistence,55.57,29.28
12/10/2025,86.51,Didyma,55.57,30.94
12/10/2025,88.76,Dodona,55.57,33.19
12/10/2025,nan,Forecast Hi-Lo Spread DAA DE-LU,55.57,
12/11/2025,233.90,Forecast Masher 25,81.87,152.03
12/11/2025,197.93,LLM Spreadbot v1,81.87,116.06
12/11/2025,50.65,oraclegenesis,81.87,31.22
12/11/2025,70.21,Dodona,81.87,11.66
12/11/2025,89.29,Didyma,81.87,7.42
12/11/2025,55.57,Persistence,81.87,26.30
12/11/2025,nan,Forecast Hi-Lo Spread DAA DE-LU,81.87,
12/12/2025,198.67,Forecast Masher 25,53.5,145.17
12/12/2025,205.26,LLM Spreadbot v1,53.5,151.76
12/12/2025,50.84,oraclegenesis,53.5,2.66
12/12/2025,68.72,Dodona,53.5,15.22
12/12/2025,81.87,Persistence,53.5,28.37
12/12/2025,60.13,Didyma,53.5,6.63
12/12/2025,nan,Forecast Hi-Lo Spread DAA DE-LU,53.5,
12/13/2025,145.23,Forecast Masher 25,45.29,99.94
12/13/2025,150.59,LLM Spreadbot v1,45.29,105.30
12/13/2025,67.88,oraclegenesis,45.29,22.59
12/13/2025,67.69,Dodona,45.29,22.40
12/13/2025,53.50,Persistence,45.29,8.21
12/13/2025,75.54,Didyma,45.29,30.25
12/13/2025,nan,Forecast Hi-Lo Spread DAA DE-LU,45.29,
12/14/2025,90.84,oraclegenesis,52.11,38.73
12/14/2025,68.75,Didyma,52.11,16.64
12/14/2025,49.40,Dodona,52.11,2.71
12/14/2025,45.29,Persistence,52.11,6.82
12/14/2025,nan,Forecast Hi-Lo Spread DAA DE-LU,52.11,
12/15/2025,74.02,oraclegenesis,101.68,27.66
12/15/2025,48.70,Dodona,101.68,52.98
12/15/2025,63.36,Didyma,101.68,38.32
12/15/2025,52.11,Persistence,101.68,49.57
12/15/2025,87.84,Forecast Hi-Lo Spread DAA DE-LU,101.68,13.84
12/16/2025,58.66,oraclegenesis,77.48,18.82
12/16/2025,76.90,Dodona,77.48,0.58
12/16/2025,101.68,Persistence,77.48,24.20
12/16/2025,79.55,Didyma,77.48,2.07
12/16/2025,90.79,Forecast Hi-Lo Spread DAA DE-LU,77.48,13.31
