Date,Forecasted value,Pseudonym,Actual value,Absolute Error
12/26/2025,78.04,oraclegenesis,45.89,32.15
12/26/2025,52.69,Dodona,45.89,6.80
12/26/2025,51.06,Didyma,45.89,5.17
12/26/2025,46.59,Persistence,45.89,0.70
12/26/2025,26.46,Electricity Maps Model DE_price_day_ahead,45.89,19.43
12/27/2025,46.29,oraclegenesis,45.7,0.59
12/27/2025,46.24,Dodona,45.7,0.54
12/27/2025,45.89,Persistence,45.7,0.19
12/27/2025,46.73,Didyma,45.7,1.03
12/27/2025,31.48,Electricity Maps Model DE_price_day_ahead,45.7,14.22
12/28/2025,58.86,oraclegenesis,46.07,12.79
12/28/2025,45.80,Dodona,46.07,0.27
12/28/2025,45.70,Persistence,46.07,0.37
12/28/2025,45.01,Didyma,46.07,1.06
12/28/2025,33.18,Electricity Maps Model DE_price_day_ahead,46.07,12.89
12/29/2025,43.54,oraclegenesis,52.02,8.48
12/29/2025,46.07,Persistence,52.02,5.95
12/29/2025,45.89,Dodona,52.02,6.13
12/29/2025,41.01,Didyma,52.02,11.01
12/29/2025,65.11,Electricity Maps Model DE_price_day_ahead,52.02,13.09
12/30/2025,55.32,oraclegenesis,51.98,3.34
12/30/2025,49.05,Dodona,51.98,2.93
12/30/2025,45.77,Didyma,51.98,6.21
12/30/2025,52.02,Persistence,51.98,0.04
12/30/2025,38.49,Electricity Maps Model DE_price_day_ahead,51.98,13.49
12/31/2025,45.01,oraclegenesis,63.65,18.64
12/31/2025,55.41,Didyma,63.65,8.24
12/31/2025,52.02,Dodona,63.65,11.63
12/31/2025,32.91,Electricity Maps Model DE_price_day_ahead,63.65,30.74
01/01/2026,48.18,oraclegenesis,94.95,46.77
01/01/2026,57.82,Dodona,94.95,37.13
01/01/2026,54.07,Didyma,94.95,40.88
01/01/2026,63.65,Persistence,94.95,31.30
01/01/2026,73.97,Electricity Maps Model DE_price_day_ahead,94.95,20.98
01/02/2026,24.54,oraclegenesis,40.25,15.71
01/02/2026,79.30,Dodona,40.25,39.05
01/02/2026,94.95,Persistence,40.25,54.70
01/02/2026,68.16,Didyma,40.25,27.91
01/02/2026,38.08,Electricity Maps Model DE_price_day_ahead,40.25,2.17
01/03/2026,29.91,oraclegenesis,41.31,11.40
01/03/2026,60.30,Didyma,41.31,18.99
01/03/2026,40.25,Persistence,41.31,1.06
01/03/2026,67.60,Dodona,41.31,26.29
01/03/2026,49.37,Electricity Maps Model DE_price_day_ahead,41.31,8.06
01/04/2026,53.60,oraclegenesis,161.81,108.21
01/04/2026,41.31,Persistence,161.81,120.50
01/04/2026,40.78,Dodona,161.81,121.03
01/04/2026,42.54,Didyma,161.81,119.27
01/04/2026,49.96,Electricity Maps Model DE_price_day_ahead,161.81,111.85
01/05/2026,48.87,oraclegenesis,105.7,56.83
01/05/2026,85.05,Didyma,105.7,20.65
01/05/2026,101.56,Dodona,105.7,4.14
01/05/2026,161.81,Persistence,105.7,56.11
01/05/2026,71.62,Electricity Maps Model DE_price_day_ahead,105.7,34.08
01/06/2026,34.75,oraclegenesis,51.28,16.53
01/06/2026,105.70,Persistence,51.28,54.42
01/06/2026,106.50,Didyma,51.28,55.22
01/06/2026,133.76,Dodona,51.28,82.48
01/06/2026,50.56,Electricity Maps Model DE_price_day_ahead,51.28,0.72
01/07/2026,34.69,oraclegenesis,231.5,196.81
01/07/2026,73.54,Didyma,231.5,157.96
01/07/2026,78.49,Dodona,231.5,153.01
01/07/2026,51.28,Persistence,231.5,180.22
01/07/2026,87.86,Electricity Maps Model DE_price_day_ahead,231.5,143.64
01/08/2026,33.69,oraclegenesis,53.12,19.43
01/08/2026,231.50,Persistence,53.12,178.38
01/08/2026,141.39,Dodona,53.12,88.27
01/08/2026,125.91,Didyma,53.12,72.79
01/08/2026,68.00,Electricity Maps Model DE_price_day_ahead,53.12,14.88
