Date,Forecasted value,Pseudonym,Actual value,Absolute Error
03/13/2026,52.91,Quasar,84.14,31.23
03/13/2026,186.38,Didyma,84.14,102.24
03/13/2026,194.92,Persistence,84.14,110.78
03/13/2026,181.13,Dodona,84.14,96.99
03/13/2026,103.57,Electricity Maps Model DE_price_day_ahead,84.14,19.43
03/14/2026,91.79,Quasar,129.34,37.55
03/14/2026,139.53,Dodona,129.34,10.19
03/14/2026,84.14,Persistence,129.34,45.20
03/14/2026,153.77,Didyma,129.34,24.43
03/14/2026,93.12,Electricity Maps Model DE_price_day_ahead,129.34,36.22
03/15/2026,46.85,Quasar,174.49,127.64
03/15/2026,129.34,Persistence,174.49,45.15
03/15/2026,106.74,Dodona,174.49,67.75
03/15/2026,136.39,Didyma,174.49,38.10
03/15/2026,111.93,Electricity Maps Model DE_price_day_ahead,174.49,62.56
03/16/2026,81.02,Quasar,121.16,40.14
03/16/2026,151.92,Dodona,121.16,30.76
03/16/2026,154.69,Didyma,121.16,33.53
03/16/2026,174.49,Persistence,121.16,53.33
03/16/2026,131.57,Electricity Maps Model DE_price_day_ahead,121.16,10.41
03/17/2026,100.42,Quasar,195.91,95.49
03/17/2026,121.16,Persistence,195.91,74.75
03/17/2026,147.83,Didyma,195.91,48.08
03/17/2026,147.83,Dodona,195.91,48.08
03/17/2026,135.52,Electricity Maps Model DE_price_day_ahead,195.91,60.39
03/18/2026,98.25,Quasar,240.92,142.67
03/18/2026,195.91,Persistence,240.92,45.01
03/18/2026,161.47,Didyma,240.92,79.45
03/18/2026,158.54,Dodona,240.92,82.38
03/18/2026,147.50,Electricity Maps Model DE_price_day_ahead,240.92,93.42
03/19/2026,75.09,Quasar,181.62,106.53
03/19/2026,218.42,Dodona,181.62,36.80
03/19/2026,240.92,Persistence,181.62,59.30
03/19/2026,210.58,Didyma,181.62,28.96
03/19/2026,132.00,Electricity Maps Model DE_price_day_ahead,181.62,49.62
03/20/2026,87.29,Quasar,169.71,82.42
03/20/2026,181.62,Persistence,169.71,11.91
03/20/2026,211.27,Dodona,169.71,41.56
03/20/2026,168.89,Didyma,169.71,0.82
03/20/2026,124.21,Electricity Maps Model DE_price_day_ahead,169.71,45.50
03/21/2026,102.37,Quasar,198.77,96.40
03/21/2026,160.22,Didyma,198.77,38.55
03/21/2026,169.71,Persistence,198.77,29.06
03/21/2026,175.67,Dodona,198.77,23.10
03/21/2026,146.41,Electricity Maps Model DE_price_day_ahead,198.77,52.36
03/22/2026,84.52,Quasar,274.11,189.59
03/22/2026,184.24,Dodona,274.11,89.87
03/22/2026,198.77,Persistence,274.11,75.34
03/22/2026,180.99,Didyma,274.11,93.12
03/22/2026,160.18,Electricity Maps Model DE_price_day_ahead,274.11,113.93
03/23/2026,110.58,Quasar,149.04,38.46
03/23/2026,236.44,Dodona,149.04,87.40
03/23/2026,198.01,Didyma,149.04,48.97
03/23/2026,274.11,Persistence,149.04,125.07
03/23/2026,120.81,Electricity Maps Model DE_price_day_ahead,149.04,28.23
03/24/2026,211.58,Dodona,175.41,36.17
03/24/2026,149.04,Persistence,175.41,26.37
03/24/2026,206.35,Didyma,175.41,30.94
03/24/2026,117.49,Electricity Maps Model DE_price_day_ahead,175.41,57.92
03/25/2026,162.23,Dodona,182.05,19.82
03/25/2026,175.41,Persistence,182.05,6.64
03/25/2026,188.46,Didyma,182.05,6.41
03/25/2026,124.57,Electricity Maps Model DE_price_day_ahead,182.05,57.48
03/26/2026,182.05,Persistence,147.2,34.85
03/26/2026,178.73,Dodona,147.2,31.53
03/26/2026,179.69,Didyma,147.2,32.49
03/26/2026,124.03,Electricity Maps Model DE_price_day_ahead,147.2,23.17
