Date,Forecasted value,Pseudonym,Actual value,Absolute Error
05/07/2026,109.70,Dodona,110.29,0.59
05/07/2026,125.41,Persistence,110.29,15.12
05/07/2026,317.46,Didyma,110.29,207.17
05/07/2026,153.82,Electricity Maps Model DE_price_day_ahead,110.29,43.53
05/08/2026,211.27,Didyma,157.61,53.66
05/08/2026,110.29,Persistence,157.61,47.32
05/08/2026,117.85,Dodona,157.61,39.76
05/08/2026,164.63,Electricity Maps Model DE_price_day_ahead,157.61,7.02
05/09/2026,145.35,Didyma,136.52,8.83
05/09/2026,157.61,Persistence,136.52,21.09
05/09/2026,133.95,Dodona,136.52,2.57
05/09/2026,139.90,Electricity Maps Model DE_price_day_ahead,136.52,3.38
05/10/2026,147.07,Dodona,82.42,64.65
05/10/2026,136.52,Persistence,82.42,54.10
05/10/2026,195.80,Didyma,82.42,113.38
05/10/2026,138.85,Electricity Maps Model DE_price_day_ahead,82.42,56.43
05/11/2026,82.42,Persistence,137.9,55.48
05/11/2026,104.15,Didyma,137.9,33.75
05/11/2026,109.47,Dodona,137.9,28.43
05/11/2026,130.11,Electricity Maps Model DE_price_day_ahead,137.9,7.79
05/12/2026,104.77,Didyma,119,14.23
05/12/2026,110.16,Dodona,119,8.84
05/12/2026,137.90,Persistence,119,18.90
05/12/2026,149.57,Electricity Maps Model DE_price_day_ahead,119,30.57
05/13/2026,119.00,Persistence,164.86,45.86
05/13/2026,128.45,Dodona,164.86,36.41
05/13/2026,127.44,Didyma,164.86,37.42
05/13/2026,153.90,Electricity Maps Model DE_price_day_ahead,164.86,10.96
05/14/2026,164.86,Persistence,134.33,30.53
05/14/2026,131.38,Didyma,134.33,2.95
05/14/2026,141.93,Dodona,134.33,7.60
05/14/2026,128.43,Electricity Maps Model DE_price_day_ahead,134.33,5.90
05/15/2026,134.33,Persistence,148.4,14.07
05/15/2026,149.60,Dodona,148.4,1.20
05/15/2026,152.27,Didyma,148.4,3.87
05/15/2026,154.80,Electricity Maps Model DE_price_day_ahead,148.4,6.40
05/16/2026,139.75,Didyma,164.37,24.62
05/16/2026,148.40,Persistence,164.37,15.97
05/16/2026,141.37,Dodona,164.37,23.00
05/16/2026,149.76,Electricity Maps Model DE_price_day_ahead,164.37,14.61
05/17/2026,164.37,Persistence,190.29,25.92
05/17/2026,156.39,Dodona,190.29,33.90
05/17/2026,131.73,Didyma,190.29,58.56
05/17/2026,180.41,Electricity Maps Model DE_price_day_ahead,190.29,9.88
05/18/2026,164.19,Didyma,140.2,23.99
05/18/2026,190.29,Persistence,140.2,50.09
05/18/2026,177.33,Dodona,140.2,37.13
05/18/2026,164.94,Electricity Maps Model DE_price_day_ahead,140.2,24.74
05/19/2026,140.20,Persistence,165.66,25.46
05/19/2026,165.25,Dodona,165.66,0.41
05/19/2026,149.83,Didyma,165.66,15.83
05/19/2026,150.72,Electricity Maps Model DE_price_day_ahead,165.66,14.94
05/20/2026,156.91,Didyma,224.83,67.92
05/20/2026,165.66,Persistence,224.83,59.17
05/20/2026,152.93,Dodona,224.83,71.90
05/20/2026,168.22,Electricity Maps Model DE_price_day_ahead,224.83,56.61
