Date,Forecasted value,Pseudonym,Actual value,Absolute Error
03/08/2026,90.40,Quasar,195.7,105.30
03/08/2026,189.58,Dodona,195.7,6.12
03/08/2026,189.58,Didyma,195.7,6.12
03/08/2026,182.25,Persistence,195.7,13.45
03/08/2026,178.36,Electricity Maps Model DE_price_day_ahead,195.7,17.34
03/09/2026,89.06,Quasar,160.25,71.19
03/09/2026,188.98,Dodona,160.25,28.73
03/09/2026,200.93,Didyma,160.25,40.68
03/09/2026,195.70,Persistence,160.25,35.45
03/10/2026,61.68,Quasar,0,61.68
03/10/2026,253.40,Didyma,0,253.40
03/10/2026,160.25,Persistence,0,160.25
03/10/2026,177.98,Dodona,0,177.98
03/10/2026,122.17,Electricity Maps Model DE_price_day_ahead,0,122.17
03/11/2026,74.60,Quasar,167.33,92.73
03/11/2026,112.11,Electricity Maps Model DE_price_day_ahead,167.33,55.22
03/12/2026,31.11,Quasar,194.92,163.81
03/12/2026,167.33,Persistence,194.92,27.59
03/12/2026,185.27,Didyma,194.92,9.65
03/12/2026,167.33,Dodona,194.92,27.59
03/12/2026,129.66,Electricity Maps Model DE_price_day_ahead,194.92,65.26
03/13/2026,52.91,Quasar,84.14,31.23
03/13/2026,186.38,Didyma,84.14,102.24
03/13/2026,194.92,Persistence,84.14,110.78
03/13/2026,181.13,Dodona,84.14,96.99
03/13/2026,103.57,Electricity Maps Model DE_price_day_ahead,84.14,19.43
03/14/2026,91.79,Quasar,129.34,37.55
03/14/2026,139.53,Dodona,129.34,10.19
03/14/2026,84.14,Persistence,129.34,45.20
03/14/2026,153.77,Didyma,129.34,24.43
03/14/2026,93.12,Electricity Maps Model DE_price_day_ahead,129.34,36.22
03/15/2026,46.85,Quasar,174.49,127.64
03/15/2026,129.34,Persistence,174.49,45.15
03/15/2026,106.74,Dodona,174.49,67.75
03/15/2026,136.39,Didyma,174.49,38.10
03/15/2026,111.93,Electricity Maps Model DE_price_day_ahead,174.49,62.56
03/16/2026,81.02,Quasar,121.16,40.14
03/16/2026,151.92,Dodona,121.16,30.76
03/16/2026,154.69,Didyma,121.16,33.53
03/16/2026,174.49,Persistence,121.16,53.33
03/16/2026,131.57,Electricity Maps Model DE_price_day_ahead,121.16,10.41
03/17/2026,100.42,Quasar,195.91,95.49
03/17/2026,121.16,Persistence,195.91,74.75
03/17/2026,147.83,Didyma,195.91,48.08
03/17/2026,147.83,Dodona,195.91,48.08
03/17/2026,135.52,Electricity Maps Model DE_price_day_ahead,195.91,60.39
03/18/2026,98.25,Quasar,240.92,142.67
03/18/2026,195.91,Persistence,240.92,45.01
03/18/2026,161.47,Didyma,240.92,79.45
03/18/2026,158.54,Dodona,240.92,82.38
03/18/2026,147.50,Electricity Maps Model DE_price_day_ahead,240.92,93.42
03/19/2026,75.09,Quasar,181.62,106.53
03/19/2026,218.42,Dodona,181.62,36.80
03/19/2026,240.92,Persistence,181.62,59.30
03/19/2026,210.58,Didyma,181.62,28.96
03/19/2026,132.00,Electricity Maps Model DE_price_day_ahead,181.62,49.62
03/20/2026,87.29,Quasar,169.71,82.42
03/20/2026,181.62,Persistence,169.71,11.91
03/20/2026,211.27,Dodona,169.71,41.56
03/20/2026,168.89,Didyma,169.71,0.82
03/20/2026,124.21,Electricity Maps Model DE_price_day_ahead,169.71,45.50
03/21/2026,102.37,Quasar,198.77,96.40
03/21/2026,160.22,Didyma,198.77,38.55
03/21/2026,169.71,Persistence,198.77,29.06
03/21/2026,175.67,Dodona,198.77,23.10
03/21/2026,146.41,Electricity Maps Model DE_price_day_ahead,198.77,52.36
