Date,Forecasted value,Pseudonym,Actual value,Absolute Error
02/26/2026,46.46,Quasar,0,46.46
02/26/2026,#DIV/0!,Dodona,0,
02/26/2026,89.24,Didyma,0,89.24
02/26/2026,89.33,Electricity Maps Model DE_price_day_ahead,0,89.33
02/27/2026,40.52,Quasar,0,40.52
02/27/2026,#DIV/0!,Dodona,0,
02/27/2026,84.78,Didyma,0,84.78
02/27/2026,74.57,Electricity Maps Model DE_price_day_ahead,0,74.57
02/28/2026,47.83,Quasar,0,47.83
02/28/2026,#DIV/0!,Dodona,0,
02/28/2026,58.13,Didyma,0,58.13
02/28/2026,94.78,Electricity Maps Model DE_price_day_ahead,0,94.78
03/01/2026,52.59,Quasar,0,52.59
03/01/2026,#DIV/0!,Dodona,0,
03/01/2026,112.60,Didyma,0,112.60
03/01/2026,126.72,Electricity Maps Model DE_price_day_ahead,0,126.72
03/02/2026,59.95,Quasar,224.84,164.89
03/02/2026,165.48,Didyma,224.84,59.36
03/02/2026,#DIV/0!,Dodona,224.84,
03/02/2026,157.23,Electricity Maps Model DE_price_day_ahead,224.84,67.61
03/03/2026,76.84,Quasar,404.24,327.40
03/03/2026,224.84,Dodona,404.24,179.40
03/03/2026,224.84,Persistence,404.24,179.40
03/03/2026,224.84,Didyma,404.24,179.40
03/03/2026,157.73,Electricity Maps Model DE_price_day_ahead,404.24,246.51
03/04/2026,65.94,Quasar,244.97,179.03
03/04/2026,314.54,Didyma,244.97,69.57
03/04/2026,404.24,Persistence,244.97,159.27
03/04/2026,314.54,Dodona,244.97,69.57
03/04/2026,129.45,Electricity Maps Model DE_price_day_ahead,244.97,115.52
03/05/2026,58.99,Quasar,203.2,144.21
03/05/2026,324.61,Dodona,203.2,121.41
03/05/2026,324.61,Didyma,203.2,121.41
03/05/2026,244.97,Persistence,203.2,41.77
03/05/2026,155.97,Electricity Maps Model DE_price_day_ahead,203.2,47.23
03/06/2026,74.40,Quasar,196.9,122.50
03/06/2026,203.20,Persistence,196.9,6.30
03/06/2026,224.09,Dodona,196.9,27.19
03/06/2026,224.09,Didyma,196.9,27.19
03/06/2026,151.00,Electricity Maps Model DE_price_day_ahead,196.9,45.90
03/07/2026,111.16,Quasar,182.25,71.09
03/07/2026,200.05,Dodona,182.25,17.80
03/07/2026,196.90,Persistence,182.25,14.65
03/07/2026,200.05,Didyma,182.25,17.80
03/07/2026,150.80,Electricity Maps Model DE_price_day_ahead,182.25,31.45
03/08/2026,90.40,Quasar,195.7,105.30
03/08/2026,189.58,Dodona,195.7,6.12
03/08/2026,189.58,Didyma,195.7,6.12
03/08/2026,182.25,Persistence,195.7,13.45
03/08/2026,178.36,Electricity Maps Model DE_price_day_ahead,195.7,17.34
03/09/2026,89.06,Quasar,160.25,71.19
03/09/2026,188.98,Dodona,160.25,28.73
03/09/2026,200.93,Didyma,160.25,40.68
03/09/2026,195.70,Persistence,160.25,35.45
03/10/2026,61.68,Quasar,0,61.68
03/10/2026,253.40,Didyma,0,253.40
03/10/2026,160.25,Persistence,0,160.25
03/10/2026,177.98,Dodona,0,177.98
03/10/2026,122.17,Electricity Maps Model DE_price_day_ahead,0,122.17
03/11/2026,74.60,Quasar,167.33,92.73
03/11/2026,112.11,Electricity Maps Model DE_price_day_ahead,167.33,55.22
