Date,Forecasted value,Pseudonym,Actual value,Absolute Error
01/11/2026,35.34,oraclegenesis,64.79,29.45
01/11/2026,39.71,Persistence,64.79,25.08
01/11/2026,58.88,Dodona,64.79,5.91
01/11/2026,93.19,Didyma,64.79,28.40
01/11/2026,44.55,Electricity Maps Model DE_price_day_ahead,64.79,20.24
01/12/2026,36.90,oraclegenesis,79.98,43.08
01/12/2026,52.25,Dodona,79.98,27.73
01/12/2026,70.07,Didyma,79.98,9.91
01/12/2026,64.79,Persistence,79.98,15.19
01/12/2026,74.75,Electricity Maps Model DE_price_day_ahead,79.98,5.23
01/13/2026,70.08,Quasar,141.59,71.51
01/13/2026,32.64,oraclegenesis,141.59,108.95
01/13/2026,79.98,Persistence,141.59,61.61
01/13/2026,58.04,Didyma,141.59,83.55
01/13/2026,64.79,Dodona,141.59,76.80
01/13/2026,125.97,Electricity Maps Model DE_price_day_ahead,141.59,15.62
01/14/2026,68.44,Quasar,86.32,17.88
01/14/2026,35.66,oraclegenesis,86.32,50.66
01/14/2026,141.59,Persistence,86.32,55.27
01/14/2026,110.79,Dodona,86.32,24.47
01/14/2026,151.02,Didyma,86.32,64.70
01/14/2026,68.81,Electricity Maps Model DE_price_day_ahead,86.32,17.51
01/15/2026,49.09,Quasar,143.21,94.12
01/15/2026,30.61,oraclegenesis,143.21,112.60
01/15/2026,86.32,Persistence,143.21,56.89
01/15/2026,113.96,Dodona,143.21,29.25
01/15/2026,93.68,Didyma,143.21,49.53
01/15/2026,151.54,Electricity Maps Model DE_price_day_ahead,143.21,8.33
01/16/2026,42.34,Quasar,53.5,11.16
01/16/2026,23.27,oraclegenesis,53.5,30.23
01/16/2026,102.53,Didyma,53.5,49.03
01/16/2026,114.77,Dodona,53.5,61.27
01/16/2026,143.21,Persistence,53.5,89.71
01/16/2026,46.42,Electricity Maps Model DE_price_day_ahead,53.5,7.08
01/17/2026,63.49,Quasar,0,63.49
01/17/2026,27.56,oraclegenesis,0,27.56
01/17/2026,32.12,Electricity Maps Model DE_price_day_ahead,0,32.12
01/18/2026,79.08,Quasar,0,79.08
01/18/2026,43.88,oraclegenesis,0,43.88
01/18/2026,53.50,Dodona,0,53.50
01/18/2026,59.15,Didyma,0,59.15
01/18/2026,98.27,Electricity Maps Model DE_price_day_ahead,0,98.27
01/19/2026,98.74,Quasar,260.71,161.97
01/19/2026,36.13,oraclegenesis,260.71,224.58
01/19/2026,#DIV/0!,Dodona,260.71,
01/19/2026,79.98,Didyma,260.71,180.73
01/19/2026,132.06,Electricity Maps Model DE_price_day_ahead,260.71,128.65
01/20/2026,43.63,oraclegenesis,103.88,60.25
01/20/2026,260.71,Persistence,103.88,156.83
01/20/2026,260.71,Dodona,103.88,156.83
01/20/2026,201.15,Didyma,103.88,97.27
01/20/2026,77.74,Electricity Maps Model DE_price_day_ahead,103.88,26.14
01/21/2026,58.75,Quasar,65.92,7.17
01/21/2026,29.29,oraclegenesis,65.92,36.63
01/21/2026,182.30,Dodona,65.92,116.38
01/21/2026,103.88,Persistence,65.92,37.96
01/21/2026,150.30,Didyma,65.92,84.38
01/21/2026,53.95,Electricity Maps Model DE_price_day_ahead,65.92,11.97
01/22/2026,38.06,Quasar,68.24,30.18
01/22/2026,104.34,Didyma,68.24,36.10
01/22/2026,84.90,Dodona,68.24,16.66
01/22/2026,65.92,Persistence,68.24,2.32
01/22/2026,62.57,Electricity Maps Model DE_price_day_ahead,68.24,5.67
01/23/2026,49.81,Quasar,54.25,4.44
01/23/2026,62.55,Didyma,54.25,8.30
01/23/2026,67.08,Dodona,54.25,12.83
01/23/2026,68.24,Persistence,54.25,13.99
01/23/2026,47.88,Electricity Maps Model DE_price_day_ahead,54.25,6.37
01/24/2026,64.62,Quasar,40.34,24.28
01/24/2026,54.25,Persistence,40.34,13.91
01/24/2026,61.25,Dodona,40.34,20.91
01/24/2026,61.25,Didyma,40.34,20.91
01/24/2026,27.50,Electricity Maps Model DE_price_day_ahead,40.34,12.84
