Date,Forecasted value,Pseudonym,Actual value,Absolute Error
12/20/2025,43.64,oraclegenesis,47.7,4.06
12/20/2025,66.25,Didyma,47.7,18.55
12/20/2025,47.80,Persistence,47.7,0.10
12/20/2025,76.74,Dodona,47.7,29.04
12/20/2025,53.76,Electricity Maps Model DE_price_day_ahead,47.7,6.06
12/21/2025,70.66,oraclegenesis,43.44,27.22
12/21/2025,49.20,Didyma,43.44,5.76
12/21/2025,47.75,Dodona,43.44,4.31
12/21/2025,47.70,Persistence,43.44,4.26
12/21/2025,50.87,Electricity Maps Model DE_price_day_ahead,43.44,7.43
12/22/2025,49.81,oraclegenesis,31.25,18.56
12/22/2025,45.57,Dodona,31.25,14.32
12/22/2025,43.44,Persistence,31.25,12.19
12/22/2025,64.27,Didyma,31.25,33.02
12/22/2025,57.83,Electricity Maps Model DE_price_day_ahead,31.25,26.58
12/23/2025,55.76,oraclegenesis,39.22,16.54
12/23/2025,31.25,Persistence,39.22,7.97
12/23/2025,37.35,Dodona,39.22,1.87
12/23/2025,50.72,Didyma,39.22,11.50
12/23/2025,66.34,Electricity Maps Model DE_price_day_ahead,39.22,27.12
12/24/2025,44.48,oraclegenesis,58.79,14.31
12/24/2025,63.76,Didyma,58.79,4.97
12/24/2025,35.24,Dodona,58.79,23.55
12/24/2025,39.22,Persistence,58.79,19.57
12/24/2025,68.62,Electricity Maps Model DE_price_day_ahead,58.79,9.83
12/25/2025,45.28,oraclegenesis,46.59,1.31
12/25/2025,49.01,Dodona,46.59,2.42
12/25/2025,67.89,Didyma,46.59,21.30
12/25/2025,58.79,Persistence,46.59,12.20
12/25/2025,48.52,Electricity Maps Model DE_price_day_ahead,46.59,1.93
12/26/2025,78.04,oraclegenesis,45.89,32.15
12/26/2025,52.69,Dodona,45.89,6.80
12/26/2025,51.06,Didyma,45.89,5.17
12/26/2025,46.59,Persistence,45.89,0.70
12/26/2025,26.46,Electricity Maps Model DE_price_day_ahead,45.89,19.43
12/27/2025,46.29,oraclegenesis,45.7,0.59
12/27/2025,46.24,Dodona,45.7,0.54
12/27/2025,45.89,Persistence,45.7,0.19
12/27/2025,46.73,Didyma,45.7,1.03
12/27/2025,31.48,Electricity Maps Model DE_price_day_ahead,45.7,14.22
12/28/2025,58.86,oraclegenesis,46.07,12.79
12/28/2025,45.80,Dodona,46.07,0.27
12/28/2025,45.70,Persistence,46.07,0.37
12/28/2025,45.01,Didyma,46.07,1.06
12/28/2025,33.18,Electricity Maps Model DE_price_day_ahead,46.07,12.89
12/29/2025,43.54,oraclegenesis,52.02,8.48
12/29/2025,46.07,Persistence,52.02,5.95
12/29/2025,45.89,Dodona,52.02,6.13
12/29/2025,41.01,Didyma,52.02,11.01
12/29/2025,65.11,Electricity Maps Model DE_price_day_ahead,52.02,13.09
12/30/2025,55.32,oraclegenesis,51.98,3.34
12/30/2025,49.05,Dodona,51.98,2.93
12/30/2025,45.77,Didyma,51.98,6.21
12/30/2025,52.02,Persistence,51.98,0.04
12/30/2025,38.49,Electricity Maps Model DE_price_day_ahead,51.98,13.49
12/31/2025,45.01,oraclegenesis,63.65,18.64
12/31/2025,55.41,Didyma,63.65,8.24
12/31/2025,52.02,Dodona,63.65,11.63
12/31/2025,32.91,Electricity Maps Model DE_price_day_ahead,63.65,30.74
01/01/2026,48.18,oraclegenesis,94.95,46.77
01/01/2026,57.82,Dodona,94.95,37.13
01/01/2026,54.07,Didyma,94.95,40.88
01/01/2026,63.65,Persistence,94.95,31.30
01/01/2026,73.97,Electricity Maps Model DE_price_day_ahead,94.95,20.98
01/02/2026,24.54,oraclegenesis,40.25,15.71
01/02/2026,79.30,Dodona,40.25,39.05
01/02/2026,94.95,Persistence,40.25,54.70
01/02/2026,68.16,Didyma,40.25,27.91
01/02/2026,38.08,Electricity Maps Model DE_price_day_ahead,40.25,2.17
