Date,Forecasted value,Pseudonym,Actual value,Absolute Error
02/08/2026,72.53,Quasar,151.35,78.82
02/08/2026,47.10,Dodona,151.35,104.25
02/08/2026,43.73,Persistence,151.35,107.62
02/08/2026,54.24,Didyma,151.35,97.11
02/08/2026,53.59,Electricity Maps Model DE_price_day_ahead,151.35,97.76
02/09/2026,73.82,Quasar,56.84,16.98
02/09/2026,151.35,Persistence,56.84,94.51
02/09/2026,97.54,Dodona,56.84,40.70
02/09/2026,97.54,Didyma,56.84,40.70
02/09/2026,43.64,Electricity Maps Model DE_price_day_ahead,56.84,13.20
02/10/2026,60.68,Quasar,52.3,8.38
02/10/2026,88.64,Didyma,52.3,36.34
02/10/2026,56.84,Persistence,52.3,4.54
02/10/2026,104.10,Dodona,52.3,51.80
02/10/2026,75.67,Electricity Maps Model DE_price_day_ahead,52.3,23.37
02/11/2026,55.61,Quasar,50.05,5.56
02/11/2026,52.30,Persistence,50.05,2.25
02/11/2026,58.00,Didyma,50.05,7.95
02/11/2026,54.57,Dodona,50.05,4.52
02/11/2026,62.03,Electricity Maps Model DE_price_day_ahead,50.05,11.98
02/12/2026,44.33,Quasar,63.45,19.12
02/12/2026,50.05,Persistence,63.45,13.40
02/12/2026,51.21,Didyma,63.45,12.24
02/12/2026,51.18,Dodona,63.45,12.27
02/12/2026,89.12,Electricity Maps Model DE_price_day_ahead,63.45,25.67
02/13/2026,41.12,Quasar,0,41.12
02/13/2026,54.66,Didyma,0,54.66
02/13/2026,63.45,Persistence,0,63.45
02/13/2026,56.75,Dodona,0,56.75
02/13/2026,43.08,Electricity Maps Model DE_price_day_ahead,0,43.08
02/14/2026,48.90,Quasar,0,48.90
02/14/2026,63.45,Dodona,0,63.45
02/14/2026,53.59,Didyma,0,53.59
02/14/2026,41.07,Electricity Maps Model DE_price_day_ahead,0,41.07
02/15/2026,49.40,Quasar,0,49.40
02/15/2026,#DIV/0!,Dodona,0,
02/15/2026,151.35,Didyma,0,151.35
02/15/2026,72.88,Electricity Maps Model DE_price_day_ahead,0,72.88
02/16/2026,56.79,Quasar,55.14,1.65
02/16/2026,56.84,Didyma,55.14,1.70
02/16/2026,#DIV/0!,Dodona,55.14,
02/16/2026,64.82,Electricity Maps Model DE_price_day_ahead,55.14,9.68
02/17/2026,60.25,Quasar,125.32,65.07
02/17/2026,53.72,Didyma,125.32,71.60
02/17/2026,55.14,Persistence,125.32,70.18
02/17/2026,55.14,Dodona,125.32,70.18
02/17/2026,88.92,Electricity Maps Model DE_price_day_ahead,125.32,36.40
02/18/2026,50.41,Quasar,49.56,0.85
02/18/2026,125.32,Persistence,49.56,75.76
02/18/2026,90.23,Dodona,49.56,40.67
02/18/2026,76.84,Didyma,49.56,27.28
02/18/2026,52.33,Electricity Maps Model DE_price_day_ahead,49.56,2.77
02/19/2026,32.00,Quasar,89.24,57.24
02/19/2026,79.44,Didyma,89.24,9.80
02/19/2026,49.56,Persistence,89.24,39.68
02/19/2026,87.44,Dodona,89.24,1.80
02/19/2026,61.26,Electricity Maps Model DE_price_day_ahead,89.24,27.98
02/20/2026,44.20,Quasar,84.78,40.58
02/20/2026,69.40,Didyma,84.78,15.38
02/20/2026,69.40,Dodona,84.78,15.38
02/20/2026,89.24,Persistence,84.78,4.46
02/20/2026,70.88,Electricity Maps Model DE_price_day_ahead,84.78,13.90
02/21/2026,22.41,Quasar,58.13,35.72
02/21/2026,84.78,Persistence,58.13,26.65
02/21/2026,87.01,Dodona,58.13,28.88
02/21/2026,87.01,Didyma,58.13,28.88
02/21/2026,32.12,Electricity Maps Model DE_price_day_ahead,58.13,26.01
