Date,Forecasted value,Pseudonym,Actual value,Absolute Error
11/20/2025 9:15:07,112.46,Persistence,227.21,114.75
11/20/2025 9:15:10,94.66,Didyma,227.21,132.55
11/20/2025 9:15:09,94.07,Dodona,227.21,133.14
11/20/2025 10:56:10,nan,Forecast Hi-Lo Spread DAA DE-LU,227.21,
11/21/2025 9:15:11,227.21,Persistence,51.48,175.73
11/21/2025 9:15:13,169.84,Dodona,51.48,118.36
11/21/2025 9:15:14,136.97,Didyma,51.48,85.49
11/21/2025 10:56:08,nan,Forecast Hi-Lo Spread DAA DE-LU,51.48,
11/22/2025 9:15:08,51.48,Persistence,36.35,15.13
11/22/2025 9:15:11,113.11,Didyma,36.35,76.76
11/22/2025 9:15:10,139.35,Dodona,36.35,103.00
11/22/2025 10:55:42,nan,Forecast Hi-Lo Spread DAA DE-LU,36.35,
11/23/2025 9:15:10,36.35,Persistence,230.04,193.69
11/23/2025 9:15:15,43.92,Dodona,230.04,186.12
11/23/2025 9:15:17,49.10,Didyma,230.04,180.94
11/23/2025 10:55:50,nan,Forecast Hi-Lo Spread DAA DE-LU,230.04,
11/24/2025 7:13:50,76.22,oraclegenesis,311.63,235.41
11/24/2025 9:15:08,133.20,Dodona,311.63,178.43
11/24/2025 9:15:07,230.04,Persistence,311.63,81.59
11/24/2025 9:15:10,118.06,Didyma,311.63,193.57
11/24/2025 10:55:53,nan,Forecast Hi-Lo Spread DAA DE-LU,311.63,
11/25/2025 7:13:50,65.63,oraclegenesis,289.24,223.61
11/25/2025 9:15:11,311.63,Persistence,289.24,22.39
11/25/2025 9:15:14,205.78,Didyma,289.24,83.46
11/25/2025 9:15:12,270.84,Dodona,289.24,18.40
11/25/2025 10:56:10,nan,Forecast Hi-Lo Spread DAA DE-LU,289.24,
11/26/2025 7:13:50,53.41,oraclegenesis,80.65,27.24
11/26/2025 9:15:14,289.24,Persistence,80.65,208.59
11/26/2025 9:15:18,237.78,Didyma,80.65,157.13
11/26/2025 9:15:16,300.44,Dodona,80.65,219.79
11/26/2025 10:56:00,nan,Forecast Hi-Lo Spread DAA DE-LU,80.65,
11/27/2025 7:13:50,59.53,oraclegenesis,70.75,11.22
11/27/2025 9:15:14,184.95,Dodona,70.75,114.20
11/27/2025 9:15:12,80.65,Persistence,70.75,9.90
11/27/2025 9:15:16,199.03,Didyma,70.75,128.28
11/27/2025 10:55:52,nan,Forecast Hi-Lo Spread DAA DE-LU,70.75,
11/28/2025 7:13:50,65.17,oraclegenesis,43.88,21.29
11/28/2025 9:15:12,70.75,Persistence,43.88,26.87
11/28/2025 9:15:14,75.70,Dodona,43.88,31.82
11/28/2025 9:15:14,67.63,Didyma,43.88,23.75
11/28/2025 10:55:58,nan,Forecast Hi-Lo Spread DAA DE-LU,43.88,
11/29/2025 7:13:50,48.62,oraclegenesis,47.62,1.00
11/29/2025 9:15:11,50.33,Didyma,47.62,2.71
11/29/2025 9:15:08,43.88,Persistence,47.62,3.74
11/29/2025 9:15:10,57.32,Dodona,47.62,9.70
11/29/2025 10:56:06,nan,Forecast Hi-Lo Spread DAA DE-LU,47.62,
11/30/2025 7:13:50,85.36,oraclegenesis,107.56,22.20
11/30/2025 9:15:13,107.18,Didyma,107.56,0.38
11/30/2025 9:15:09,47.62,Persistence,107.56,59.94
11/30/2025 9:15:11,45.75,Dodona,107.56,61.81
11/30/2025 10:55:31,nan,Forecast Hi-Lo Spread DAA DE-LU,107.56,
12/1/2025 7:13:50,83.05,oraclegenesis,132.46,49.41
12/1/2025 9:15:12,155.60,Didyma,132.46,23.14
12/1/2025 9:15:10,77.59,Dodona,132.46,54.87
12/1/2025 9:15:09,107.56,Persistence,132.46,24.90
12/1/2025 10:55:34,nan,Forecast Hi-Lo Spread DAA DE-LU,132.46,
12/2/2025 7:13:50,66.12,oraclegenesis,271.77,205.65
12/2/2025 9:15:17,176.42,Didyma,271.77,95.35
12/2/2025 9:15:15,120.01,Dodona,271.77,151.76
12/2/2025 9:15:14,132.46,Persistence,271.77,139.31
12/2/2025 10:55:46,nan,Forecast Hi-Lo Spread DAA DE-LU,271.77,
12/3/2025 7:13:50,55.89,oraclegenesis,82.02,26.13
12/3/2025 9:15:13,202.12,Dodona,82.02,120.10
12/3/2025 9:15:11,271.77,Persistence,82.02,189.75
12/3/2025 9:15:16,161.63,Didyma,82.02,79.61
12/3/2025 11:15:16,196.43,LLM Spreadbot v1,82.02,114.41
