Date,Forecasted value,Pseudonym,Actual value,Absolute Error
01/02/2026,24.54,oraclegenesis,40.25,15.71
01/02/2026,79.30,Dodona,40.25,39.05
01/02/2026,94.95,Persistence,40.25,54.70
01/02/2026,68.16,Didyma,40.25,27.91
01/02/2026,38.08,Electricity Maps Model DE_price_day_ahead,40.25,2.17
01/03/2026,29.91,oraclegenesis,41.31,11.40
01/03/2026,60.30,Didyma,41.31,18.99
01/03/2026,40.25,Persistence,41.31,1.06
01/03/2026,67.60,Dodona,41.31,26.29
01/03/2026,49.37,Electricity Maps Model DE_price_day_ahead,41.31,8.06
01/04/2026,53.60,oraclegenesis,161.81,108.21
01/04/2026,41.31,Persistence,161.81,120.50
01/04/2026,40.78,Dodona,161.81,121.03
01/04/2026,42.54,Didyma,161.81,119.27
01/04/2026,49.96,Electricity Maps Model DE_price_day_ahead,161.81,111.85
01/05/2026,48.87,oraclegenesis,105.7,56.83
01/05/2026,85.05,Didyma,105.7,20.65
01/05/2026,101.56,Dodona,105.7,4.14
01/05/2026,161.81,Persistence,105.7,56.11
01/05/2026,71.62,Electricity Maps Model DE_price_day_ahead,105.7,34.08
01/06/2026,34.75,oraclegenesis,51.28,16.53
01/06/2026,105.70,Persistence,51.28,54.42
01/06/2026,106.50,Didyma,51.28,55.22
01/06/2026,133.76,Dodona,51.28,82.48
01/06/2026,50.56,Electricity Maps Model DE_price_day_ahead,51.28,0.72
01/07/2026,34.69,oraclegenesis,231.5,196.81
01/07/2026,73.54,Didyma,231.5,157.96
01/07/2026,78.49,Dodona,231.5,153.01
01/07/2026,51.28,Persistence,231.5,180.22
01/07/2026,87.86,Electricity Maps Model DE_price_day_ahead,231.5,143.64
01/08/2026,33.69,oraclegenesis,53.12,19.43
01/08/2026,231.50,Persistence,53.12,178.38
01/08/2026,141.39,Dodona,53.12,88.27
01/08/2026,125.91,Didyma,53.12,72.79
01/08/2026,68.00,Electricity Maps Model DE_price_day_ahead,53.12,14.88
01/09/2026,46.25,oraclegenesis,78.05,31.80
01/09/2026,142.31,Dodona,78.05,64.26
01/09/2026,108.29,Didyma,78.05,30.24
01/09/2026,53.12,Persistence,78.05,24.93
01/09/2026,55.24,Electricity Maps Model DE_price_day_ahead,78.05,22.81
01/10/2026,33.20,oraclegenesis,39.71,6.51
01/10/2026,78.05,Persistence,39.71,38.34
01/10/2026,65.59,Dodona,39.71,25.88
01/10/2026,57.49,Didyma,39.71,17.78
01/10/2026,54.37,Electricity Maps Model DE_price_day_ahead,39.71,14.66
01/11/2026,35.34,oraclegenesis,64.79,29.45
01/11/2026,39.71,Persistence,64.79,25.08
01/11/2026,58.88,Dodona,64.79,5.91
01/11/2026,93.19,Didyma,64.79,28.40
01/11/2026,44.55,Electricity Maps Model DE_price_day_ahead,64.79,20.24
01/12/2026,36.90,oraclegenesis,79.98,43.08
01/12/2026,52.25,Dodona,79.98,27.73
01/12/2026,70.07,Didyma,79.98,9.91
01/12/2026,64.79,Persistence,79.98,15.19
01/12/2026,74.75,Electricity Maps Model DE_price_day_ahead,79.98,5.23
01/13/2026,70.08,Quasar,141.59,71.51
01/13/2026,32.64,oraclegenesis,141.59,108.95
01/13/2026,79.98,Persistence,141.59,61.61
01/13/2026,58.04,Didyma,141.59,83.55
01/13/2026,64.79,Dodona,141.59,76.80
01/13/2026,125.97,Electricity Maps Model DE_price_day_ahead,141.59,15.62
01/14/2026,68.44,Quasar,86.32,17.88
01/14/2026,35.66,oraclegenesis,86.32,50.66
01/14/2026,141.59,Persistence,86.32,55.27
01/14/2026,110.79,Dodona,86.32,24.47
01/14/2026,151.02,Didyma,86.32,64.70
01/14/2026,68.81,Electricity Maps Model DE_price_day_ahead,86.32,17.51
01/15/2026,49.09,Quasar,143.21,94.12
01/15/2026,30.61,oraclegenesis,143.21,112.60
01/15/2026,86.32,Persistence,143.21,56.89
01/15/2026,113.96,Dodona,143.21,29.25
01/15/2026,93.68,Didyma,143.21,49.53
01/15/2026,151.54,Electricity Maps Model DE_price_day_ahead,143.21,8.33
