Date,Forecasted value,Pseudonym,Actual value,Absolute Error
03/22/2026,84.52,Quasar,274.11,189.59
03/22/2026,184.24,Dodona,274.11,89.87
03/22/2026,198.77,Persistence,274.11,75.34
03/22/2026,180.99,Didyma,274.11,93.12
03/22/2026,160.18,Electricity Maps Model DE_price_day_ahead,274.11,113.93
03/23/2026,110.58,Quasar,149.04,38.46
03/23/2026,236.44,Dodona,149.04,87.40
03/23/2026,198.01,Didyma,149.04,48.97
03/23/2026,274.11,Persistence,149.04,125.07
03/23/2026,120.81,Electricity Maps Model DE_price_day_ahead,149.04,28.23
03/24/2026,211.58,Dodona,175.41,36.17
03/24/2026,149.04,Persistence,175.41,26.37
03/24/2026,206.35,Didyma,175.41,30.94
03/24/2026,117.49,Electricity Maps Model DE_price_day_ahead,175.41,57.92
03/25/2026,162.23,Dodona,182.05,19.82
03/25/2026,175.41,Persistence,182.05,6.64
03/25/2026,188.46,Didyma,182.05,6.41
03/25/2026,124.57,Electricity Maps Model DE_price_day_ahead,182.05,57.48
03/26/2026,182.05,Persistence,147.2,34.85
03/26/2026,178.73,Dodona,147.2,31.53
03/26/2026,179.69,Didyma,147.2,32.49
03/26/2026,124.03,Electricity Maps Model DE_price_day_ahead,147.2,23.17
03/27/2026,164.63,Dodona,0,164.63
03/27/2026,147.20,Persistence,0,147.20
03/27/2026,166.32,Didyma,0,166.32
03/27/2026,106.00,Electricity Maps Model DE_price_day_ahead,0,106.00
03/28/2026,147.20,Dodona,128.69,18.51
03/28/2026,172.99,Didyma,128.69,44.30
03/28/2026,108.14,Electricity Maps Model DE_price_day_ahead,128.69,20.55
03/29/2026,128.69,Dodona,135.77,7.08
03/29/2026,201.40,Didyma,135.77,65.63
03/29/2026,128.69,Persistence,135.77,7.08
03/29/2026,101.83,Electricity Maps Model DE_price_day_ahead,135.77,33.94
03/30/2026,135.77,Persistence,163.33,27.56
03/30/2026,132.23,Dodona,163.33,31.10
03/30/2026,137.83,Didyma,163.33,25.50
03/30/2026,141.30,Electricity Maps Model DE_price_day_ahead,163.33,22.03
03/31/2026,163.33,Persistence,158.72,4.61
03/31/2026,158.17,Didyma,158.72,0.55
03/31/2026,149.55,Dodona,158.72,9.17
03/31/2026,143.31,Electricity Maps Model DE_price_day_ahead,158.72,15.41
04/01/2026,161.03,Dodona,162.22,1.19
04/01/2026,158.72,Persistence,162.22,3.50
04/01/2026,168.03,Didyma,162.22,5.81
04/01/2026,149.87,Electricity Maps Model DE_price_day_ahead,162.22,12.35
04/02/2026,162.22,Persistence,156.58,5.64
04/02/2026,160.47,Dodona,156.58,3.89
04/02/2026,156.05,Didyma,156.58,0.53
04/02/2026,147.83,Electricity Maps Model DE_price_day_ahead,156.58,8.75
04/03/2026,159.40,Didyma,175.57,16.17
04/03/2026,156.58,Persistence,175.57,18.99
04/03/2026,159.40,Dodona,175.57,16.17
04/03/2026,138.45,Electricity Maps Model DE_price_day_ahead,175.57,37.12
04/04/2026,175.57,Persistence,150.86,24.71
04/04/2026,153.61,Didyma,150.86,2.75
04/04/2026,166.08,Dodona,150.86,15.22
04/04/2026,117.84,Electricity Maps Model DE_price_day_ahead,150.86,33.02
