Date,Forecasted value,Pseudonym,Actual value,Absolute Error
12/10/2025,155.89,Forecast Masher 25,55.57,100.32
12/10/2025,198.93,LLM Spreadbot v1,55.57,143.36
12/10/2025,80.99,oraclegenesis,55.57,25.42
12/10/2025,84.85,Persistence,55.57,29.28
12/10/2025,86.51,Didyma,55.57,30.94
12/10/2025,88.76,Dodona,55.57,33.19
12/10/2025,nan,Electricity Maps Model DE_price_day_ahead,55.57,
12/11/2025,233.90,Forecast Masher 25,81.87,152.03
12/11/2025,197.93,LLM Spreadbot v1,81.87,116.06
12/11/2025,50.65,oraclegenesis,81.87,31.22
12/11/2025,70.21,Dodona,81.87,11.66
12/11/2025,89.29,Didyma,81.87,7.42
12/11/2025,55.57,Persistence,81.87,26.30
12/11/2025,nan,Electricity Maps Model DE_price_day_ahead,81.87,
12/12/2025,198.67,Forecast Masher 25,53.5,145.17
12/12/2025,205.26,LLM Spreadbot v1,53.5,151.76
12/12/2025,50.84,oraclegenesis,53.5,2.66
12/12/2025,68.72,Dodona,53.5,15.22
12/12/2025,81.87,Persistence,53.5,28.37
12/12/2025,60.13,Didyma,53.5,6.63
12/12/2025,nan,Electricity Maps Model DE_price_day_ahead,53.5,
12/13/2025,145.23,Forecast Masher 25,45.29,99.94
12/13/2025,150.59,LLM Spreadbot v1,45.29,105.30
12/13/2025,67.88,oraclegenesis,45.29,22.59
12/13/2025,67.69,Dodona,45.29,22.40
12/13/2025,53.50,Persistence,45.29,8.21
12/13/2025,75.54,Didyma,45.29,30.25
12/13/2025,nan,Electricity Maps Model DE_price_day_ahead,45.29,
12/14/2025,90.84,oraclegenesis,52.11,38.73
12/14/2025,68.75,Didyma,52.11,16.64
12/14/2025,49.40,Dodona,52.11,2.71
12/14/2025,45.29,Persistence,52.11,6.82
12/14/2025,nan,Electricity Maps Model DE_price_day_ahead,52.11,
12/15/2025,74.02,oraclegenesis,101.68,27.66
12/15/2025,48.70,Dodona,101.68,52.98
12/15/2025,63.36,Didyma,101.68,38.32
12/15/2025,52.11,Persistence,101.68,49.57
12/15/2025,87.84,Electricity Maps Model DE_price_day_ahead,101.68,13.84
12/16/2025,58.66,oraclegenesis,77.48,18.82
12/16/2025,76.90,Dodona,77.48,0.58
12/16/2025,101.68,Persistence,77.48,24.20
12/16/2025,79.55,Didyma,77.48,2.07
12/16/2025,90.79,Electricity Maps Model DE_price_day_ahead,77.48,13.31
12/17/2025,53.51,oraclegenesis,120.82,67.31
12/17/2025,78.24,Didyma,120.82,42.58
12/17/2025,77.48,Persistence,120.82,43.34
12/17/2025,89.58,Dodona,120.82,31.24
12/17/2025,79.13,Electricity Maps Model DE_price_day_ahead,120.82,41.69
12/18/2025,75.20,oraclegenesis,105.67,30.47
12/18/2025,93.39,Didyma,105.67,12.28
12/18/2025,120.82,Persistence,105.67,15.15
12/18/2025,99.15,Dodona,105.67,6.52
12/18/2025,87.76,Electricity Maps Model DE_price_day_ahead,105.67,17.91
12/19/2025,105.67,Persistence,47.8,57.87
12/19/2025,93.33,Didyma,47.8,45.53
12/19/2025,113.25,Dodona,47.8,65.45
12/19/2025,60.79,oraclegenesis,47.8,12.99
12/19/2025,54.76,Electricity Maps Model DE_price_day_ahead,47.8,6.96
12/20/2025,43.64,oraclegenesis,47.7,4.06
12/20/2025,66.25,Didyma,47.7,18.55
12/20/2025,47.80,Persistence,47.7,0.10
12/20/2025,76.74,Dodona,47.7,29.04
12/20/2025,53.76,Electricity Maps Model DE_price_day_ahead,47.7,6.06
12/21/2025,70.66,oraclegenesis,43.44,27.22
12/21/2025,49.20,Didyma,43.44,5.76
12/21/2025,47.75,Dodona,43.44,4.31
12/21/2025,47.70,Persistence,43.44,4.26
12/21/2025,50.87,Electricity Maps Model DE_price_day_ahead,43.44,7.43
12/22/2025,49.81,oraclegenesis,31.25,18.56
12/22/2025,45.57,Dodona,31.25,14.32
12/22/2025,43.44,Persistence,31.25,12.19
12/22/2025,64.27,Didyma,31.25,33.02
12/22/2025,57.83,Electricity Maps Model DE_price_day_ahead,31.25,26.58
12/23/2025,55.76,oraclegenesis,39.22,16.54
12/23/2025,31.25,Persistence,39.22,7.97
12/23/2025,37.35,Dodona,39.22,1.87
12/23/2025,50.72,Didyma,39.22,11.50
12/23/2025,66.34,Electricity Maps Model DE_price_day_ahead,39.22,27.12
